# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	18556
#@/user_id	e20759ef-d2df-41e6-b751-89c12cbdc2a3
a 	啊	c=105 d=0.0106531 t=18556
da ji 	打擊	c=3 d=1.45804e-14 t=18556
da ji yuan 	大紀元	c=1 d=2.6206e-40 t=18556
da jia 	大家	c=10 d=0.000418815 t=18556
da jia hao 	大家好	c=3 d=7.23746e-28 t=18556
da jian 	搭建	c=1 d=1.66637e-37 t=18556
da ka 	打卡	c=1 d=0.400517 t=18556
da kai 	打開	c=9 d=4.80127e-06 t=18556
da lao 	大佬	c=10 d=6.82574e-08 t=18556
da lei 	打雷	c=1 d=5.51357e-26 t=18556
da liang 	大量	c=3 d=0.0156858 t=18556
da lu 	大陸	c=2 d=1.96671e-16 t=18556
da ma 	大馬	c=1 d=0.00145173 t=18556
da pan 	大盤	c=1 d=2.43928e-20 t=18556
da suan 	打算	c=11 d=3.33169e-08 t=18556
da tui 	大腿	c=0 d=5.87166e-32 t=18556
da wen jian 	大文件	c=1 d=3.70921e-39 t=18556
da xiao 	大小	c=3 d=0.0065062 t=18556
da xiao 	打消	c=1 d=2.20978e-34 t=18556
da xue 	大學	c=18 d=1.65835 t=18556
da xue sheng 	大學生	c=1 d=2.19913e-36 t=18556
da yang zhou 	大洋洲	c=2 d=0.00162866 t=18556
da yin 	打印	c=2 d=6.08968e-11 t=18556
da yu 	大於	c=0 d=7.44508e-31 t=18556
da yu 	大雨	c=1 d=7.55759e-30 t=18556
da yue 	大約	c=1 d=5.89708e-23 t=18556
dai 	帶	c=4 d=4.36492e-12 t=18556
dai ci 	代詞	c=1 d=1.14314e-15 t=18556
dai dai 	帶帶	c=0 d=6.45573e-30 t=18556
dai dai wo 	帶帶我	c=4 d=8.48904e-15 t=18556
dai kuan 	貸款	c=1 d=1.5516e-21 t=18556
dai li 	代理	c=11 d=4.38489e-05 t=18556
dai ma 	代碼	c=29 d=0.104623 t=18556
dai ti 	代替	c=5 d=8.81144e-12 t=18556
dai wo 	帶我	c=1 d=1.62777e-26 t=18556
dan 	但	c=3 d=2.00958e-05 t=18556
dan bu neng 	但不能	c=1 d=8.51536e-22 t=18556
dan bu qi 	擔不起	c=1 d=1.61712e-37 t=18556
dan dan 	單單	c=1 d=8.17173e-08 t=18556
dan hao 	單號	c=1 d=0.292293 t=18556
dan jia 	單價	c=2 d=8.32105e-36 t=18556
dan sheng 	誕生	c=4 d=2.09484e-37 t=18556
dan shi 	但是	c=26 d=0.968502 t=18556
dan shu 	單數	c=8 d=1.16041e-15 t=18556
dan xin 	擔心	c=4 d=1.49318e-24 t=18556
dan you 	擔憂	c=1 d=5.76539e-22 t=18556
dan yuan 	但願	c=2 d=4.19665e-21 t=18556
dan yuan 	單元	c=1 d=1.29376e-30 t=18556
dang 	當	c=2 d=2.37382e-07 t=18556
dang chang 	當場	c=0 d=9.00784e-08 t=18556
dang chang qu shi 	當場去世	c=1 d=9.053e-07 t=18556
dang di 	當地	c=2 d=8.36693e-21 t=18556
dang ju 	當局	c=1 d=1.22749e-29 t=18556
dang qian 	當前	c=6 d=0.0121072 t=18556
dang ran 	當然	c=9 d=1.09764e-05 t=18556
dang shi 	當時	c=1 d=1.76125e-12 t=18556
dang xia 	當下	c=2 d=6.73396e-16 t=18556
dao 	倒	c=3 d=2.23992e-18 t=18556
dao 	刀	c=1 d=2.65939e-07 t=18556
dao 	到	c=40 d=0.704179 t=18556
dao chu 	到處	c=1 d=1.02741e-24 t=18556
dao chu 	導出	c=1 d=4.87084e-09 t=18556
dao di 	到底	c=2 d=8.87978e-15 t=18556
dao gu 	稻穀	c=2 d=8.29779e-36 t=18556
dao hang 	導航	c=4 d=0.14661 t=18556
dao lai 	到來	c=2 d=1.03347e-05 t=18556
dao mu 	盜墓	c=1 d=7.60194e-40 t=18556
dao qi 	到期	c=1 d=4.05024e-15 t=18556
dao shi 	倒是	c=2 d=2.87442e-10 t=18556
dao shi hou 	到時候	c=2 d=5.45221e-12 t=18556
dao xian zai 	到現在	c=1 d=1.68724e-07 t=18556
dao zhe li 	到這裏	c=1 d=3.9768e-35 t=18556
dao zhi 	導致	c=2 d=1.78725e-08 t=18556
de 	地	c=0 d=2.27236e-40 t=18556
de 	得	c=8 d=0.540641 t=18556
de 	的	c=801 d=8.81072 t=18556
de dao 	得到	c=1 d=1.36952e-23 t=18556
de fen 	得分	c=2 d=9.33823e-19 t=18556
de guo 	德國	c=1 d=0.00154923 t=18556
de hua 	的話	c=0 d=9.32711e-06 t=18556
de shuo 	地說	c=0 d=2.66528e-34 t=18556
de yu 	德語	c=1 d=6.45243e-23 t=18556
deng 	登	c=1 d=1.93072e-34 t=18556
deng 	等	c=18 d=0.179084 t=18556
deng 	鄧	c=1 d=2.5559e-40 t=18556
deng dai 	等待	c=4 d=0.274591 t=18556
deng deng 	等等	c=10 d=0.00259284 t=18556
deng hou 	等候	c=1 d=2.67363e-11 t=18556
deng ji 	登記	c=1 d=2.04697e-16 t=18556
deng ji 	等級	c=1 d=4.11999e-10 t=18556
deng ji zheng 	登記證	c=1 d=1.08138e-38 t=18556
deng lu 	登錄	c=15 d=0.766658 t=18556
deng ni 	等你	c=2 d=3.07645e-15 t=18556
deng ru 	登入	c=3 d=6.05517e-24 t=18556
deng tong 	等同	c=1 d=1.70478e-11 t=18556
di 	低	c=1 d=8.84753e-31 t=18556
di 	滴	c=1 d=3.85127e-40 t=18556
di 	睇	c=2 d=1.90737 t=18556
di 	第	c=2 d=9.43179e-11 t=18556
di dian 	地點	c=1 d=1.21887e-05 t=18556
di er ci 	第二次	c=2 d=6.98741e-14 t=18556
di er ge 	第二個	c=1 d=2.47227e-31 t=18556
di er tian 	第二天	c=7 d=1.02832e-05 t=18556
di er zhang 	第二章	c=1 d=0.000385874 t=18556
di fang 	地方	c=4 d=1.3138e-05 t=18556
di gui 	遞歸	c=1 d=2.94208e-19 t=18556
di guo 	帝國	c=1 d=1.59668e-05 t=18556
di jia 	低價	c=2 d=1.12251e-35 t=18556
di qiu 	地球	c=4 d=3.28471e-17 t=18556
di qu 	地區	c=4 d=0.00302975 t=18556
di san ci 	第三次	c=2 d=8.18535e-14 t=18556
di san fang 	第三方	c=1 d=2.98289e-34 t=18556
di san tian 	第三天	c=2 d=3.9501e-35 t=18556
di san zhang 	第三章	c=1 d=0.00122477 t=18556
di tu 	地圖	c=4 d=3.55806e-12 t=18556
di wang 	帝王	c=1 d=1.01019e-31 t=18556
di xia 	低下	c=1 d=1.99541e-10 t=18556
di yi 	第一	c=2 d=1.74485e-12 t=18556
di yi ci 	第一次	c=5 d=6.34433e-14 t=18556
di yi ge 	第一個	c=4 d=0.00970717 t=18556
di yi tian 	第一天	c=2 d=2.92601e-35 t=18556
di yi zhang 	第一章	c=3 d=9.26136e-10 t=18556
di yin pao 	低音炮	c=1 d=1.49279e-37 t=18556
di yu 	低於	c=1 d=6.94529e-36 t=18556
di zhi 	地址	c=48 d=0.633003 t=18556
dian 	電	c=1 d=9.96199e-15 t=18556
dian 	點	c=11 d=1.03623 t=18556
dian dian tou 	點點頭	c=2 d=7.93942e-14 t=18556
dian hua 	電話	c=2 d=1.12593e-14 t=18556
dian hua ka 	電話卡	c=3 d=3.13104e-38 t=18556
dian ji 	點擊	c=15 d=0.000277502 t=18556
dian nao 	電腦	c=10 d=0.00394645 t=18556
dian shang 	電傷	c=1 d=3.43768e-27 t=18556
dian shi 	電視	c=1 d=2.99529e-24 t=18556
dian ying 	電影	c=6 d=4.58874e-13 t=18556
dian yuan 	電源	c=1 d=0.0115047 t=18556
dian zan 	點讚	c=1 d=2.64838e-17 t=18556
dian zi 	電子	c=6 d=2.64019e-10 t=18556
dian zi ban 	電子版	c=1 d=0.179964 t=18556
dian zi you jian 	電子郵件	c=1 d=3.13103e-16 t=18556
diao 	掉	c=1 d=5.88486e-28 t=18556
diao cha 	調查	c=3 d=3.74661e-10 t=18556
diao cha zhe 	調查者	c=1 d=3.45198e-17 t=18556
diao xing 	調型	c=2 d=5.79173e-38 t=18556
diao yong 	調用	c=7 d=7.72994e-11 t=18556
diao yu 	釣魚	c=15 d=0.00010667 t=18556
die 	跌	c=8 d=1.89776 t=18556
ding 	定	c=1 d=5.73761e-24 t=18556
ding dan 	訂單	c=1 d=3.58419e-18 t=18556
ding shi 	定時	c=3 d=0.0969722 t=18556
ding yi 	定義	c=3 d=2.28539e-19 t=18556
ding yue 	訂閱	c=1 d=2.10308e-40 t=18556
diu 	丟	c=3 d=5.29424e-10 t=18556
diu diu 	丟丟	c=0 d=5.05825e-13 t=18556
diu gei 	丟給	c=0 d=1.06401e-25 t=18556
diu gei wo 	丟給我	c=1 d=1.06934e-24 t=18556
diu shi 	丟失	c=1 d=2.57895e-28 t=18556
dong 	懂	c=2 d=3.03011e-05 t=18556
dong 	東	c=3 d=3.11962e-16 t=18556
dong 	洞	c=8 d=1.53496e-09 t=18556
dong ci 	動詞	c=1 d=1.1205e-15 t=18556
dong fang 	東方	c=1 d=5.19867e-40 t=18556
dong gong 	東宮	c=1 d=1.41319e-10 t=18556
dong hua 	動畫	c=2 d=3.99823e-10 t=18556
dong jie 	凍結	c=1 d=8.65436e-36 t=18556
dong luan 	動亂	c=1 d=7.56685e-15 t=18556
dong man 	動漫	c=3 d=8.29709e-07 t=18556
dong tai 	動態	c=1 d=3.2175e-13 t=18556
dong tian 	冬天	c=2 d=1.16803e-33 t=18556
dong wu 	動物	c=1 d=8.87675e-11 t=18556
dong xi 	東西	c=23 d=0.00404627 t=18556
dong zhi 	東芝	c=1 d=6.4124e-38 t=18556
dou 	抖	c=1 d=4.4554e-19 t=18556
dou 	豆	c=0 d=3.23749e-28 t=18556
dou 	都	c=38 d=1.2235 t=18556
dou bei 	都被	c=2 d=2.84085e-05 t=18556
dou bu 	都不	c=1 d=3.22192e-29 t=18556
dou bu hao 	都不好	c=0 d=9.8763e-32 t=18556
dou bu hao zuo 	都不好做	c=1 d=9.9258e-31 t=18556
dou bu shi 	都不是	c=1 d=1.65322e-32 t=18556
dou bu zhe yang 	都不這樣	c=1 d=2.81597e-33 t=18556
dou bu zhi dao 	都不知道	c=1 d=0.00245409 t=18556
dou e yuan 	竇娥冤	c=1 d=5.32393e-26 t=18556
dou fu 	豆腐	c=1 d=1.82932e-17 t=18556
dou hui 	都會	c=2 d=8.66053e-15 t=18556
dou ke yi 	都可以	c=7 d=0.0213864 t=18556
dou luo da liu 	斗羅大陸	c=1 d=2.45492e-07 t=18556
dou mei you 	都沒有	c=1 d=4.62289e-12 t=18556
dou neng 	都能	c=2 d=3.79928e-37 t=18556
dou shi 	都是	c=23 d=0.000168993 t=18556
dou xi huan 	都喜歡	c=1 d=1.2902e-27 t=18556
dou xing 	都行	c=1 d=7.15315e-30 t=18556
dou xu yao 	都需要	c=1 d=8.82619e-32 t=18556
dou yao 	都要	c=2 d=3.89474e-25 t=18556
dou yin 	抖音	c=4 d=4.88313e-17 t=18556
dou yong 	都用	c=1 d=4.05369e-25 t=18556
dou you 	都有	c=3 d=2.56906e-10 t=18556
dou zai 	都在	c=5 d=1.20072e-05 t=18556
dou zhi dao 	都知道	c=1 d=8.41746e-33 t=18556
dou zuo 	都做	c=1 d=1.00758e-30 t=18556
du 	度	c=4 d=1.00447e-24 t=18556
du 	毒	c=1 d=3.80712e-22 t=18556
du 	讀	c=2 d=4.39206e-27 t=18556
du 	賭	c=1 d=1.28643e-22 t=18556
du dong 	讀懂	c=1 d=5.04519e-11 t=18556
du li 	獨立	c=2 d=1.0872e-13 t=18556
du li ri 	獨立日	c=1 d=3.53744e-40 t=18556
du qu 	讀取	c=6 d=0.38292 t=18556
du shu 	讀書	c=1 d=1.62103e-36 t=18556
du wan 	讀完	c=4 d=1.68498e-10 t=18556
du zhe 	讀者	c=6 d=0.125722 t=18556
du zhe men 	讀者們	c=1 d=0.0271874 t=18556
duan 	斷	c=2 d=0.000497955 t=18556
duan 	段	c=14 d=7.01191e-07 t=18556
duan 	短	c=3 d=9.75335e-16 t=18556
duan dai ma 	段代碼	c=1 d=4.71388e-06 t=18556
duan ding 	斷定	c=1 d=1.0799e-22 t=18556
duan kai 	斷開	c=6 d=0.000528747 t=18556
duan kou 	端口	c=11 d=0.000529067 t=18556
duan lian 	鍛鍊	c=1 d=0.018968 t=18556
duan lie 	斷裂	c=2 d=1.89568e-15 t=18556
duan wen 	短文	c=1 d=1.15541e-23 t=18556
duan xian 	斷線	c=1 d=5.56898e-26 t=18556
duan xian 	短線	c=1 d=3.40174e-21 t=18556
duan xin 	短信	c=1 d=1.47417e-07 t=18556
dui 	對	c=30 d=0.36223 t=18556
dui a 	對啊	c=2 d=1.94377e-25 t=18556
dui ba 	對吧	c=2 d=4.10433e-24 t=18556
dui bu dui 	對不對	c=1 d=5.10719e-37 t=18556
dui fang 	對方	c=6 d=6.23707e-06 t=18556
dui hua 	對話	c=5 d=3.90549e-28 t=18556
dui jiang ji 	對講機	c=1 d=9.59451e-14 t=18556
dui ju 	對局	c=1 d=3.63514e-37 t=18556
dui ni 	對你	c=3 d=2.37481e-34 t=18556
dui xiang 	對象	c=4 d=9.73454e-08 t=18556
dui ying 	對應	c=6 d=4.11511e-07 t=18556
dui yu 	對於	c=7 d=0.0221457 t=18556
dui yu wo 	對於我	c=1 d=3.28753e-31 t=18556
dun 	噸	c=4 d=1.6028e-35 t=18556
dun 	頓	c=1 d=4.62919e-28 t=18556
duo 	多	c=12 d=2.80943e-06 t=18556
duo da 	多大	c=3 d=7.21167e-08 t=18556
duo dian 	多點	c=1 d=1.7042e-07 t=18556
duo duo 	多多	c=1 d=8.79292e-17 t=18556
duo fang 	多方	c=15 d=2.04475e-34 t=18556
duo ge 	多個	c=3 d=1.81115e-08 t=18556
duo hang 	多行	c=1 d=8.58897e-35 t=18556
duo jiu 	多久	c=1 d=4.19879e-27 t=18556
duo nian 	多年	c=0 d=1.62357e-26 t=18556
duo shao 	多少	c=12 d=0.00187552 t=18556
duo shu 	多數	c=1 d=1.80393e-29 t=18556
duo tai 	墮胎	c=1 d=5.87266e-33 t=18556
e 	俄	c=5 d=6.98508e-15 t=18556
e 	額	c=11 d=7.31087e-12 t=18556
e guo 	俄國	c=6 d=3.87712e-14 t=18556
e hua 	惡化	c=1 d=2.72569e-32 t=18556
e luo si 	俄羅斯	c=15 d=3.2959e-05 t=18556
e xing 	惡性	c=1 d=2.79232e-22 t=18556
e yi 	惡意	c=3 d=3.72918e-05 t=18556
e yu 	俄語	c=47 d=0.90101 t=18556
e yu 	鱷魚	c=1 d=5.84735e-41 t=18556
en 	嗯	c=2 d=8.5316e-15 t=18556
en 	恩	c=65 d=0.744531 t=18556
en en 	嗯嗯	c=8 d=0.416323 t=18556
en mian 	恩眄	c=1 d=6.36611e-41 t=18556
er 	二	c=6 d=0.0697107 t=18556
er 	兒	c=1 d=2.16757e-13 t=18556
er 	而	c=9 d=1.2214e-13 t=18556
er duo 	耳朵	c=1 d=9.89513e-24 t=18556
er hao 	二號	c=0 d=3.1843e-39 t=18556
er hao fang 	二號房	c=1 d=3.20026e-38 t=18556
er ji 	耳機	c=1 d=1.48535e-37 t=18556
er qie 	而且	c=2 d=1.5285e-21 t=18556
er shi 	而是	c=1 d=3.31482e-40 t=18556
er wei ma 	二維碼	c=1 d=1.75789e-19 t=18556
er yi 	而已	c=1 d=2.90726e-26 t=18556
fa 	法	c=2 d=1.13177e-15 t=18556
fa 	發	c=18 d=0.00103524 t=18556
fa bu 	發佈	c=6 d=4.55904e-18 t=18556
fa chu 	發出	c=1 d=7.15947e-11 t=18556
fa chu lai 	發出來	c=1 d=1.73922e-11 t=18556
fa gei 	發給	c=1 d=1.73981e-15 t=18556
fa gei ni men 	發給你們	c=1 d=3.88006e-10 t=18556
fa gei wo 	發給我	c=3 d=1.08104e-05 t=18556
fa guo 	法國	c=2 d=3.88535e-26 t=18556
fa guo 	發過	c=1 d=2.53356e-25 t=18556
fa guo lai 	發過來	c=1 d=5.05911e-14 t=18556
fa huo 	發貨	c=2 d=0.494068 t=18556
fa jian ren 	發件人	c=1 d=3.96047e-16 t=18556
fa ka 	發卡	c=1 d=1.49051e-19 t=18556
fa lai 	發來	c=1 d=1.5865e-18 t=18556
fa lan xi 	法蘭西	c=1 d=5.06514e-28 t=18556
fa lv 	法律	c=7 d=0.00147367 t=18556
fa qi 	發起	c=3 d=0.000510561 t=18556
fa she 	發射	c=1 d=6.42134e-25 t=18556
fa she qi 	發射器	c=1 d=2.83105e-37 t=18556
fa sheng 	發生	c=6 d=9.78177e-06 t=18556
fa song 	發送	c=37 d=0.658751 t=18556
fa song dao 	發送到	c=1 d=4.70251e-07 t=18556
fa tie 	發帖	c=1 d=2.61072e-25 t=18556
fa wo 	發我	c=1 d=7.51222e-18 t=18556
fa wo xia 	發我下	c=1 d=7.19023e-32 t=18556
fa xia 	發下	c=3 d=4.96313e-16 t=18556
fa xian 	發現	c=7 d=0.0537523 t=18556
fa xing 	髮型	c=6 d=1.64956e-06 t=18556
fa yin 	發音	c=1 d=5.46539e-11 t=18556
fa yu 	法語	c=5 d=6.82883e-28 t=18556
fan 	反	c=11 d=0.213724 t=18556
fan 	翻	c=1 d=4.5595e-26 t=18556
fan bing du 	反病毒	c=1 d=3.52722e-06 t=18556
fan che 	翻車	c=1 d=7.15924e-40 t=18556
fan hong 	泛紅	c=1 d=1.88799e-06 t=18556
fan hui 	返回	c=4 d=4.32975e-06 t=18556
fan kui 	反饋	c=4 d=0.0616937 t=18556
fan tan 	反彈	c=7 d=7.01254e-05 t=18556
fan ti 	繁體	c=7 d=1.1521 t=18556
fan wei 	範圍	c=1 d=1.02177e-18 t=18556
fan xiang 	反向	c=4 d=0.000476426 t=18556
fan xu lie 	反序列	c=1 d=0.000116806 t=18556
fan xu lie hua 	反序列化	c=2 d=0.000228128 t=18556
fan ye 	翻頁	c=1 d=1.5969e-36 t=18556
fan yi 	翻譯	c=11 d=0.0112769 t=18556
fan yi wei 	翻譯爲	c=6 d=1.26599e-10 t=18556
fan ying 	反應	c=1 d=1.02406e-15 t=18556
fan zao 	煩躁	c=3 d=4.72398e-24 t=18556
fan zheng 	反正	c=4 d=4.73912e-10 t=18556
fang 	房	c=1 d=0.0315873 t=18556
fang 	放	c=5 d=8.85233e-08 t=18556
fang an 	方案	c=11 d=0.0129068 t=18556
fang bian 	方便	c=3 d=0.285076 t=18556
fang chan 	房產	c=2 d=5.86869e-29 t=18556
fang fa 	方法	c=21 d=0.825028 t=18556
fang fan 	防範	c=1 d=1.44469e-34 t=18556
fang ge 	方格	c=1 d=8.83398e-13 t=18556
fang huo qiang 	防火牆	c=3 d=7.94804e-05 t=18556
fang jia 	房價	c=1 d=8.40002e-38 t=18556
fang jia 	放假	c=1 d=8.44212e-38 t=18556
fang jian 	房間	c=2 d=6.5836e-38 t=18556
fang mian 	方面	c=5 d=3.2221e-10 t=18556
fang qi 	放棄	c=1 d=6.8596e-37 t=18556
fang re 	放熱	c=1 d=9.83907e-16 t=18556
fang shi 	方式	c=7 d=0.219173 t=18556
fang wen 	訪問	c=17 d=1.6726e-05 t=18556
fang wu 	房屋	c=3 d=2.69943e-21 t=18556
fang xiang 	方向	c=2 d=2.40024e-13 t=18556
fang xin 	放心	c=1 d=5.36173e-21 t=18556
fang yu 	防禦	c=2 d=0.00673795 t=18556
fang zai 	放在	c=1 d=4.55174e-06 t=18556
fang zhe 	放着	c=1 d=2.534e-27 t=18556
fang zhi 	防止	c=3 d=3.28362e-17 t=18556
fang zu 	房租	c=1 d=8.93645e-31 t=18556
fei 	非	c=3 d=1.49437e-20 t=18556
fei chang 	非常	c=13 d=0.0298415 t=18556
fei fa 	非法	c=1 d=3.25095e-17 t=18556
fei fan 	非凡	c=1 d=1.36738e-34 t=18556
fei ji 	飛機	c=3 d=1.74619e-38 t=18556
fei ji piao 	飛機票	c=1 d=4.87151e-40 t=18556
fei yao 	非要	c=1 d=5.87585e-10 t=18556
fei yao yong 	非要用	c=1 d=8.04023e-23 t=18556
fei yong 	費用	c=6 d=1.7032e-18 t=18556
fei zhou 	非洲	c=1 d=3.9244e-26 t=18556
fei zhu 	飛豬	c=3 d=2.21982e-39 t=18556
fen 	份	c=1 d=7.54988e-18 t=18556
fen 	分	c=4 d=3.96734e-07 t=18556
fen bian lv 	分辨率	c=2 d=5.75045e-39 t=18556
fen bie 	分別	c=3 d=9.30841e-07 t=18556
fen bie shi 	分別是	c=1 d=1.59283e-06 t=18556
fen bu chu 	分不出	c=1 d=6.50267e-26 t=18556
fen fen 	分分	c=1 d=4.22357e-08 t=18556
fen hao 	分號	c=1 d=8.71877e-35 t=18556
fen lan 	芬蘭	c=5 d=0.00360208 t=18556
fen lei 	分類	c=1 d=4.9804e-06 t=18556
fen li 	分離	c=1 d=4.40567e-34 t=18556
fen pei 	分配	c=2 d=1.15146e-33 t=18556
fen qu 	分區	c=1 d=3.11372e-39 t=18556
fen se 	粉色	c=1 d=3.31549e-13 t=18556
fen si 	粉絲	c=1 d=2.12422e-40 t=18556
fen xi 	分析	c=2 d=8.78693e-09 t=18556
fen xiang 	分享	c=14 d=3.25604e-06 t=18556
fen zhong 	分鐘	c=5 d=8.72054e-08 t=18556
fen zi 	分子	c=1 d=7.60478e-15 t=18556
fen zi shi 	分子式	c=1 d=1.73473e-10 t=18556
feng 	封	c=5 d=2.41837e-07 t=18556
feng 	峯	c=1 d=4.2874e-08 t=18556
feng 	風	c=5 d=5.11518e-26 t=18556
feng gao 	風高	c=1 d=2.7765e-14 t=18556
feng hao 	封號	c=1 d=2.38237e-07 t=18556
feng huang 	鳳凰	c=1 d=1.17228e-17 t=18556
feng jian 	封建	c=1 d=3.65088e-29 t=18556
feng jing 	風景	c=2 d=1.23729e-05 t=18556
feng kuang 	瘋狂	c=1 d=2.37049e-07 t=18556
feng suo 	封鎖	c=1 d=0.00199922 t=18556
feng wo 	蜂窩	c=1 d=2.91073e-40 t=18556
feng xian 	風險	c=3 d=4.17576e-21 t=18556
fou 	否	c=1 d=9.30431e-35 t=18556
fou ze 	否則	c=1 d=1.33848e-18 t=18556
fu 	服	c=2 d=0.337919 t=18556
fu 	負	c=1 d=1.93644e-10 t=18556
fu fei 	付費	c=1 d=2.90578e-20 t=18556
fu gai 	覆蓋	c=1 d=1.02689e-18 t=18556
fu hao 	符號	c=1 d=7.31405e-27 t=18556
fu jian 	附件	c=5 d=7.00596e-12 t=18556
fu jin 	附近	c=3 d=0.00249637 t=18556
fu kuan 	付款	c=11 d=0.654347 t=18556
fu kuan yan zheng 	付款驗證	c=1 d=2.26734e-13 t=18556
fu li 	福利	c=3 d=1.3025e-21 t=18556
fu lu 	附錄	c=2 d=1.60124e-18 t=18556
fu mu 	父母	c=2 d=1.4328e-25 t=18556
fu qian 	付錢	c=2 d=1.46907e-25 t=18556
fu qin 	父親	c=2 d=1.47643e-25 t=18556
fu shang 	附上	c=1 d=2.5674e-34 t=18556
fu shi 	服飾	c=1 d=3.03426e-29 t=18556
fu shu 	複數	c=6 d=1.16623e-15 t=18556
fu shu 	負數	c=1 d=4.06142e-18 t=18556
fu tu 	附圖	c=0 d=1.15086e-07 t=18556
fu tu niu niu 	附圖牛牛	c=1 d=1.15663e-06 t=18556
fu wu 	服務	c=9 d=9.80305e-06 t=18556
fu wu duan 	服務端	c=12 d=3.77821e-05 t=18556
fu wu qi 	服務器	c=8 d=0.0109218 t=18556
fu xi 	複習	c=6 d=1.70779e-31 t=18556
fu xian 	復現	c=15 d=0.227653 t=18556
fu yin 	輔音	c=1 d=1.18979e-15 t=18556
fu yin jian 	複印件	c=1 d=1.84671e-40 t=18556
fu yu 	富裕	c=1 d=0.00158052 t=18556
fu za 	複雜	c=1 d=0.0150707 t=18556
fu zhi 	複製	c=5 d=0.0295994 t=18556
fu zhi 	賦值	c=1 d=6.52748e-12 t=18556
gai 	改	c=10 d=6.72398e-08 t=18556
gai 	該	c=26 d=0.0210774 t=18556
gai gai 	改改	c=1 d=1.5772e-37 t=18556
gai lv 	概率	c=4 d=0.00615802 t=18556
gai nian 	概念	c=1 d=3.01441e-40 t=18556
gai wei 	改爲	c=2 d=5.04348e-07 t=18556
gan cui 	乾脆	c=1 d=6.76344e-18 t=18556
gan de 	乾的	c=0 d=4.51567e-31 t=18556
gan de piao liang 	乾的漂亮	c=2 d=1.72191e-11 t=18556
gan jue 	感覺	c=3 d=3.96945e-24 t=18556
gan ma 	乾媽	c=1 d=1.73709e-26 t=18556
gan ma 	幹嘛	c=3 d=7.28896e-16 t=18556
gan ran 	感染	c=3 d=6.29832e-22 t=18556
gan rao 	干擾	c=1 d=1.92613e-06 t=18556
gan sha 	幹啥	c=2 d=0.000227263 t=18556
gan shen me 	幹什麼	c=2 d=1.91546e-27 t=18556
gan xie 	感謝	c=8 d=0.646618 t=18556
gan xing qu 	感興趣	c=1 d=7.73154e-33 t=18556
gan zuo 	敢做	c=0 d=4.11355e-22 t=18556
gang ao tai 	港澳臺	c=1 d=8.57117e-40 t=18556
gang bi 	鋼筆	c=3 d=2.93842e-10 t=18556
gang gang 	剛剛	c=10 d=0.00292395 t=18556
gang gu 	港股	c=5 d=2.53594e-06 t=18556
gang qin 	鋼琴	c=2 d=1.10422e-28 t=18556
gang wei 	崗位	c=1 d=9.72926e-31 t=18556
gao 	告	c=1 d=2.35338e-10 t=18556
gao 	搞	c=13 d=0.00274475 t=18556
gao 	高	c=11 d=3.57586e-05 t=18556
gao dao 	搞到	c=1 d=1.40586e-37 t=18556
gao ding 	搞定	c=6 d=2.82341e-05 t=18556
gao fei 	稿費	c=2 d=5.78169e-25 t=18556
gao feng xian 	高風險	c=1 d=3.65274e-35 t=18556
gao guo 	搞過	c=1 d=1.38116e-05 t=18556
gao jia 	高價	c=1 d=4.40708e-36 t=18556
gao jia ge 	高價格	c=1 d=7.48622e-36 t=18556
gao jing du 	高精度	c=1 d=1.01857e-40 t=18556
gao ke ji 	高科技	c=2 d=8.475e-32 t=18556
gao liang 	高亮	c=1 d=4.83321e-06 t=18556
gao shu 	高數	c=1 d=1.16762e-29 t=18556
gao su 	告訴	c=4 d=0.0214936 t=18556
gao su ni 	告訴你	c=3 d=7.03826e-16 t=18556
gao wen 	高溫	c=5 d=1.47087e-10 t=18556
gao yu 	高於	c=1 d=6.60656e-36 t=18556
gao zhi 	告知	c=2 d=5.61932e-14 t=18556
gao zhong 	高中	c=4 d=2.91935e-16 t=18556
ge 	個	c=52 d=0.00182264 t=18556
ge 	割	c=1 d=3.7087e-08 t=18556
ge 	哥	c=6 d=6.76403e-13 t=18556
ge 	格	c=4 d=3.51953e-34 t=18556
ge dou 	格鬥	c=1 d=5.04417e-38 t=18556
ge ge 	哥哥	c=1 d=2.65108e-29 t=18556
ge li 	隔離	c=1 d=0.000335463 t=18556
ge qu 	歌曲	c=1 d=1.67301e-25 t=18556
ge ren 	個人	c=18 d=4.38416e-05 t=18556
ge wei 	各位	c=6 d=0.0303497 t=18556
ge yang 	各樣	c=1 d=9.48581e-27 t=18556
ge yue 	個月	c=2 d=9.46807e-05 t=18556
ge zhong 	各種	c=5 d=1.83867e-11 t=18556
gei 	給	c=20 d=0.233428 t=18556
gei ge 	給個	c=0 d=7.10537e-11 t=18556
gei ni 	給你	c=16 d=7.19204e-08 t=18556
gei ni fa 	給你發	c=1 d=6.76229e-16 t=18556
gei ni men 	給你們	c=1 d=3.88746e-11 t=18556
gei ta 	給他	c=1 d=1.59831e-17 t=18556
gei wo 	給我	c=6 d=1.95962e-10 t=18556
gei wo ba 	給我吧	c=1 d=7.28524e-10 t=18556
gen 	根	c=1 d=3.24079e-39 t=18556
gen 	跟	c=1 d=3.79923e-27 t=18556
